season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,result1,cc_final,elo1_pre,elo2_pre,prob1,elo1_post,elo2_post,champ
1997,"1997-07-21","SAC","PHO","Sacramento Monarchs","Phoenix Mercury",0,0,57,70,0,0,1436.5469835252727,1573.0496530799808,0.41939547608538347,1422.3965386712277,1587.2000979340257,""
1997,"1997-07-22","NYL","LVA","New York Liberty","Utah Starzz",0,0,71,78,0,0,1593.2445237809195,1362.6159616553546,0.8566968421314126,1566.5120788427857,1389.3484065934883,""
1997,"1997-07-22","PHO","HOU","Phoenix Mercury","Houston Comets",0,0,69,77,0,0,1587.2000979340257,1575.0189036646711,0.629631811966499,1570.485256454408,1591.7337451442888,""
1997,"1997-07-23","CHA","NYL","Charlotte Sting","New York Liberty",0,0,63,65,0,0,1507.6540662000443,1566.5120788427857,0.5303882665073109,1503.339661031601,1570.826484011229,""
1997,"1997-07-23","LAS","CLE","Los Angeles Sparks","Cleveland Rockers",0,0,85,89,0,0,1484.9939509338162,1466.875957159941,0.6375653442563347,1475.2102281638454,1476.6596799299118,""
1997,"1997-07-25","PHO","LAS","Phoenix Mercury","Los Angeles Sparks",0,0,83,86,0,0,1570.485256454408,1475.2102281638454,0.732817386382779,1560.7357144128684,1484.959770205385,""
1997,"1997-07-25","SAC","HOU","Sacramento Monarchs","Houston Comets",0,0,76,86,0,0,1422.3965386712277,1591.7337451442888,0.37419393905063786,1412.4644645817975,1601.665819233719,""
1997,"1997-07-26","NYL","CHA","New York Liberty","Charlotte Sting",0,0,61,64,0,0,1570.826484011229,1503.339661031601,0.7003578312476604,1561.8055443202852,1512.3606007225449,""
1997,"1997-07-26","LVA","CLE","Utah Starzz","Cleveland Rockers",0,0,66,77,0,0,1389.3484065934883,1476.6596799299118,0.4894797847225657,1374.2074388051205,1491.8006477182796,""
1997,"1997-07-27","SAC","LAS","Sacramento Monarchs","Los Angeles Sparks",0,0,62,84,0,0,1412.4644645817975,1484.959770205385,0.5107984440139807,1384.5517886795208,1512.8724461076617,""
1997,"1997-07-28","PHO","CLE","Phoenix Mercury","Cleveland Rockers",0,0,64,76,0,0,1560.7357144128684,1491.8006477182796,0.7021044292028004,1533.2755609500034,1519.2608011811446,""
1997,"1997-07-29","HOU","CLE","Houston Comets","Cleveland Rockers",0,0,64,73,0,0,1601.665819233719,1519.2608011811446,0.7180639650267948,1579.0046825557718,1541.921937859092,""
1997,"1997-07-30","CHA","PHO","Charlotte Sting","Phoenix Mercury",0,0,68,67,1,0,1512.3606007225449,1533.2755609500034,0.5842198735664885,1514.1587048433273,1531.477456829221,""
1997,"1997-07-30","LAS","LVA","Los Angeles Sparks","Utah Starzz",0,0,91,69,1,0,1512.8724461076617,1374.2074388051205,0.7788086067904758,1522.7524992582212,1364.327385654561,""
1997,"1997-07-30","NYL","SAC","New York Liberty","Sacramento Monarchs",0,0,73,68,1,0,1561.8055443202852,1384.5517886795208,0.814704203268316,1564.2589601548464,1382.0983728449596,""
1997,"1997-07-31","CLE","PHO","Cleveland Rockers","Phoenix Mercury",0,0,79,67,1,0,1541.921937859092,1531.477456829221,0.6272974740293644,1553.3564401014114,1520.0429545869015,""
1997,"1997-08-01","CHA","SAC","Charlotte Sting","Sacramento Monarchs",0,0,85,61,1,0,1514.1587048433273,1382.0983728449596,0.7721897735405107,1525.1264415220312,1371.1306361662555,""
1997,"1997-08-01","LAS","HOU","Los Angeles Sparks","Houston Comets",0,0,57,81,0,0,1522.7524992582212,1579.0046825557718,0.5341227320282779,1490.951003299116,1610.806178514877,""
1997,"1997-08-02","CLE","SAC","Cleveland Rockers","Sacramento Monarchs",0,0,72,51,1,0,1553.3564401014114,1371.1306361662555,0.8189860673786336,1560.881842161745,1363.605234105922,""
1997,"1997-08-02","NYL","PHO","New York Liberty","Phoenix Mercury",0,0,80,70,1,0,1564.2589601548464,1520.0429545869015,0.6715149179099039,1572.7120291477554,1511.5898855939924,""
